"id","explanation_text","explanation_type","recommendation_id","created_at"
57,"Essa obra musical oferece uma melodia suave e letras introspectivas que ressoam com almas empáticas em busca de compreensão. Suas harmonias transmitem serenidade e aceitação, proporcionando um espaço seguro para reflexão emocional. A produção minimalista realça autenticidade, criando uma conexão íntima e sincera, perfeita para aqueles que valorizam profundidade emocional e harmonia.",3,52,2025-01-25 16:20:32.073
58,"A energia intensa e crua ressoa com quem busca explorar novas dimensões emocionais. As letras profundas provocam reflexão e introspecção, tocando temas universais de forma ousada. A fusão de gêneros desafia convenções musicais, encorajando uma escuta ativa e interpretativa, ideal para aqueles dispostos a embarcar em jornadas sonoras transformadoras.",0,63,2025-01-25 16:20:48.940
59,"A música possui uma energia contagiante e letra motivadora que impulsiona superação e determinação. Com batidas vibrantes e ritmo acelerado, é inspiradora e celebrativa, ideal para quem busca intensidade e conexão emocional. Encoraja aventuras e liderança, despertando vontade de enfrentar desafios e aproveitar momentos com confiança e animação.",2,62,2025-01-25 16:20:48.940
60,"Essa música oferece uma reflexão intensa sobre escolhas de vida e suas consequências, promovendo introspecção. Ela ressoa com aqueles que valorizam conexões autênticas e aprendizados profundos. O som sulista, juntamente com letras perspicazes, cria uma atmosfera rica, ideal para almas introspectivas e receptivas à narrativa emocional e honesta.",3,61,2025-01-25 16:20:48.940
61,"A música oferece batidas eletrônicas constantes e um ritmo equilibrado, promovendo foco e concentração. Sua estrutura melódica clara e repetitiva apoia a manutenção da produtividade e a execução eficaz de tarefas. O som ambiental suave facilita a ambientação harmoniosa, ajudando a criar uma atmosfera de estabilidade e eficiência organizacional durante atividades.",1,60,2025-01-25 16:20:48.940
62,"Essa faixa oferece uma poderosa combinação de letras encorajadoras e instrumentação energética, promovendo um escape emocional e um senso de resiliência. Seus ritmos intensos e melodias emocionantes transmitem mensagens de apoio e superação, ajudando a aliviar tensões e inspirar confiança, estimulando o ouvinte a enfrentar desafios e encontrar força interior.",4,59,2025-01-25 16:20:48.940
63,"Esta canção combina riffs enérgicos de guitarra com poderosos vocais dualísticos, criando uma dinâmica cativante e envolvente. A fusão de elementos sinfônicos e rock moderno proporciona uma experiência sonora rica e multifacetada. A letra motivacional e assertiva incentiva uma reflexão sobre autoconfiança e determinação, assegurando uma audição estimulante.",5,58,2025-01-25 16:20:48.940
64,"Esta canção possui uma melodia vibrante e otimista, que energiza qualquer ambiente. Sua batida contagiante e letras inspiradoras incentivam a celebração e interação, tornando-a ideal para encontros animados. A música exala um senso de liberdade e alegria que ressoa com aqueles que gostam de vivenciar cada momento intensamente, sempre conectando-se com os demais.",2,69,2025-01-25 16:22:01.745
65,"Com batidas cativantes e melodias nostálgicas, esta música propicia uma viagem sonora que estimula a imaginação. Seu impacto cultural e inovador redefine padrões musicais e visuais. A mistura de intensidade emocional e produção única desperta a curiosidade, permitindo mergulhar em novas narrativas artísticas, inspirando releituras e interpretações pessoais.",0,68,2025-01-25 16:22:01.745
66,"Este som nostálgico e introspectivo oferece uma melodia calma e letras profundas que promovem reflexão e foco. Sua combinação de estrutura harmoniosa e instrumentação precisa ressoa com aqueles que valorizam estabilidade e cautela, proporcionando um ambiente auditivo sereno que complementa um estilo de vida equilibrado e atento aos detalhes.",1,67,2025-01-25 16:22:01.745
67,"Este som vibrante e enérgico desperta alegria instantânea, promovendo união e celebração. Ritmos cativantes e uma mensagem otimista incentivam dançar e sorrir, criando um ambiente de pura felicidade. É um convite irresistível para elevar o astral, compartilhar positividade e apreciar momentos simples, alinhando-se perfeitamente com almas calorosas e entusiasmadas.",3,66,2025-01-25 16:22:01.745
68,"Esta música oferece um ritmo envolvente e uma melodia cativante, proporcionando um escape emocional imediato. A letra aborda a busca de apoio e compreensão, ressoando com sentimentos de perda e esperança. O vocal energético combinado com instrumentação vibrante ajuda a elevar o humor, acalmando e encorajando o ouvinte simultaneamente.",4,65,2025-01-25 16:22:01.745
69,"Esta faixa apresenta uma batida cativante e envolvente, com uma mistura perfeita de elementos pop e eletrônicos. O refrão é poderoso e memorável, impulsionado por vocais fortes e arranjos sonoros dinâmicos. A composição traz uma narrativa intrigante e dramática, mantendo o ouvinte preso do início ao fim.",5,64,2025-01-25 16:22:01.745
70,"Com uma melodia etérea e envolvente, a canção oferece um refúgio sonoro, promovendo calma e introspecção. As camadas sonoras delicadas e harmoniosas criam um ambiente seguro e acolhedor. A suavidade nas vocais transporta o ouvinte para um estado de tranquilidade, proporcionando uma sensação de paz e equilíbrio interior.",4,75,2025-01-25 16:23:25.378
71,"A faixa destaca-se pela fusão dinâmica de guitarras distorcidas com linhas melódicas sutilmente etéreas e percussão precisa. Vocais aveludados contrastam com a energia instrumental, criando uma textura sonora envolvente. Traz mudanças de ritmos capturantes e harmonias elaboradas, oferecendo uma experiência rica em camadas e sutilezas auditivas surpreendentes ao ouvinte.",5,74,2025-01-25 16:23:25.378
72,"Essa melodia cativante combina simplicidade e sofisticação, refletindo energia contagiante e envolvente. Frequentemente, provoca emoções positivas e aumenta a sensação de bem-estar, permitindo um momento de introspecção ou calma sem perder o brilho natural. Perfeita para acompanhar momentos de relaxamento ou interações significativas, criando uma atmosfera equilibrada e revigorante.",2,73,2025-01-25 16:23:25.378
73,"O ritmo suave e melódico promove um ambiente focado e relaxante, ideal para manter a concentração em tarefas detalhadas. A letra nostálgica resgata memórias com precisão emocional, favorecendo reflexão e introspecção. Sua estrutura bem definida e consistente serve como trilha sonora perfeita para momentos de produtividade e análise cuidadosa.",1,72,2025-01-25 16:23:25.378
74,"Com uma energia pulsante e letras inspiradoras, a música estimula a superação de desafios, evocando um espírito de determinação e resiliência. Os arranjos sonoros criativos desencadeiam sentimentos de conquista, encorajando ouvintes a explorar além dos limites convencionais. É um convite sonoro para explorar novas fronteiras e transformar adversidades em oportunidades.",0,71,2025-01-25 16:23:25.378
75,"Esta criação complexa oferece uma experiência introspectiva e meditativa, ideal para almas ponderadas. Com suas camadas instrumentais ricas, convida à reflexão e promove harmonia interna. Os ritmos hipnóticos e letras profundas fomentam uma conexão espiritual, enquanto a evolução sonora estimula apreciação e contemplação profundas, proporcionando serenidade e inspiração ao ouvinte.",3,70,2025-01-25 16:23:25.378
82,"Com batidas futuristas e produção inovadora, a música oferece uma jornada sonora única que estimula a imaginação. Suas letras introspectivas e atmosferas sonoras cativantes desafiam percepções tradicionais, convidando à reflexão. A fusão de gêneros e experimentação melódica cria uma experiência auditiva envolvente, ideal para espíritos que apreciam autenticidade e exploração artística.",0,87,2025-01-25 16:23:55.809
83,"Esta música apresenta uma melodia cativante e enérgica, impulsionada por acordes de guitarra que se entrelaçam perfeitamente com uma bateria vibrante. O vocal é claro e envolvente, com um refrão que ressoa facilmente na mente. A estrutura é bem definida, proporcionando uma experiência auditiva dinâmica e revigorante do início ao fim.",5,86,2025-01-25 16:23:55.809
84,"As batidas energéticas e emocionantes desta canção cativam quem adora interações intensas e envolventes. A profundidade emocional transporta ouvintes para uma experiência visceral, enquanto a melodia poderosa ressoa intensamente. Perfeita para aqueles que vivem intensamente e apreciam músicas que combinam paixão e ritmo marcante, criando conexões memoráveis e inspiradoras.",2,85,2025-01-25 16:23:55.809
85,"Essa música envolve o ouvinte em uma melodia suave e vocais emotivos, criando um ambiente de serenidade. Sua harmonia sutil e letras poéticas tocam o coração, alimentando a imaginação e promovendo introspecção. É uma expressão musical que ressoa com aqueles que valorizam momentos de contemplação e beleza serena.",3,84,2025-01-25 16:23:55.809
86,"Essa música energizante combina ritmos dinâmicos com letras inspiradoras, ideal para quem busca eficiência e foco. Sua energia contagiante pode impulsionar a produtividade, enquanto a melodia bem estruturada reflete a precisão esperada em tarefas diárias. Motiva sem perder o ritmo, sendo uma trilha sonora perfeita para dias organizados e planejados.",1,83,2025-01-25 16:23:55.809
87,"A batida intensa e as letras assertivas promovem um sentimento de empowerment, transformando energia acumulada em motivação. A música oferece uma válvula de escape para frustrações, reenergizando com confiança e presença. É uma trilha sonora poderosa, permitindo que o ouvinte se sinta fortalecido e dominante em momentos de desafio pessoal.",4,82,2025-01-25 16:23:55.809
88,"A música inspira indivíduos a sonharem grande, celebrando momentos inesquecíveis enquanto mantêm uma energia otimista e estruturada. Com um ritmo contagiante e letras motivadoras, ela encoraja o foco e determinação. É ideal para manter um ambiente positivo e produtivo, equilibrando perfeitamente diversão com compromisso, destacando a importância de memórias bem vividas.",1,93,2025-01-25 16:26:09.887
89,"A música traz uma vibração calorosa e alegre, evocando sentimentos de verão e felicidade. Seus tons suaves e melodia cativante criam uma atmosfera leve e positiva. A letra celebra momentos simples e doces, promovendo um ambiente relaxante e otimista, ideal para reforçar uma conexão harmoniosa com o mundo ao seu redor.",3,92,2025-01-25 16:26:09.887
90,"Este som oferece uma fusão de batidas enérgicas e letras sinceras, proporcionando um equilíbrio entre incentivar a superação de desafios emocionais e trazer à tona uma sensação de alívio. A melodia vibrante cria um ambiente positivo, oferecendo conforto e compreensão, transformando sentimentos complexos em uma experiência auditiva revitalizante e estimulante.",4,91,2025-01-25 16:26:09.887
76,"Com melodias encantadoras e instrumentação rica, essa canção envolve o ouvinte em uma narrativa de fantasia e aventura. A suavidade dos vocais e o ritmo cativante criam uma atmosfera acolhedora e mágica. Ideal para aqueles que apreciam momentos de introspecção e conexão, promovendo tranquilidade e um senso de pertencimento.",3,81,2025-01-25 16:23:54.754
77,"Esta faixa apresenta uma produção envolvente e um ritmo cativante que captura a atenção, promovendo foco em momentos difíceis. Sua energia vibrante eleva o humor e transporta o ouvinte para um estado de confiança e ousadia. As batidas consistentes ajudam a estabilizar emoções e fornecem um escape estiloso e poderoso.",4,80,2025-01-25 16:23:54.754
78,"Esta faixa apresenta um ritmo cativante com um refrão memorável, equilibrando harmoniosamente sons eletrônicos e instrumentação tradicional. Os vocais suaves complementam os acordes dançantes, criando uma experiência auditiva envolvente. Sua produção meticulosa e melodia acessível a tornam ideal para momentos de descontração ou festas animadas, mantendo a energia sempre alta.",5,79,2025-01-25 16:23:54.754
79,"Esta música vibrante, com ritmo contagiante e letras animadas, exalta confiança e celebra a energia positiva. Perfeita para animar festas, cantar junto com amigos e dançar despreocupadamente, ela ressoa com indivíduos que adoram estar no centro das atenções, criar memórias divertidas e espalhar alegria por onde passam.",2,78,2025-01-25 16:23:54.754
80,"Esta música cativante embala ouvintes com melodias suaves e letras tocantes, enfatizando compromisso e dedicação. As harmonias cuidadosamente construídas e a narrativa envolvente ressoam com aqueles que valorizam consistência e atenção aos detalhes. Perfeita para momentos introspectivos, inspira foco e serenidade, proporcionando um ambiente harmonioso e equilibrado na agitada rotina diária.",1,77,2025-01-25 16:23:54.754
81,"Esta canção oferece uma letra evocativa, explorando momentos efêmeros e sem compromissos que inspiram a contemplação. A melodia cativante estimula a imaginação, enquanto a produção moderna desafia convenções sonoras. Ideal para aqueles que valorizam nuances e buscam experiências musicais que convidam a pensar além das fronteiras tradicionais, sem deixar de entreter.",0,76,2025-01-25 16:23:54.754
1270,"Com sua energia intensa e poderosa, essa canção impulsiona o ouvinte, inspirando ação e determinação. As batidas fortes e os ritmos eletrizantes geram um ambiente dinâmico, enquanto a letra ressonante provoca reflexão e motivação. Ideal para quem aprecia sons vibrantes que alimentam a confiança e incentivam a interação com o mundo.",2,1281,2025-01-26 20:47:28.599
1271,"Esta canção evoca emoções profundas e positivas, unindo melodia suave com letras sobre amizade e saudade. Promove reflexões sobre conexões humanas autênticas e momentos compartilhados, ressoando com quem valoriza compreensão e empatia. A harmonia vocal e instrumental é um abraço auditivo, perfeito para corações que apreciam relações genuínas e acolhedoras.",3,1280,2025-01-26 20:47:28.599
1272,Descubra uma faixa repleta de batidas irresistíveis e uma estrutura cativante que envolve o ouvinte desde o início. A combinação intrigante de vocais intensos e arranjo instrumental dinâmico cria uma experiência auditiva envolvente. A energia pulsante e refrão marcante asseguram que esta composição se destaque em qualquer playlist que busca impacto sonoro.,5,1279,2025-01-26 20:47:28.599
1273,"Esta música oferece uma estrutura melódica impecável e uma letra bem elaborada, proporcionando uma sensação de estabilidade e controle. Sua produção polida e ritmos consistentes atraem aqueles que apreciam precisão e clareza. A narrativa cativante também promove reflexão cuidadosa, tornando-a ideal para mentes que valorizam ordem e atenção aos detalhes.",1,1278,2025-01-26 20:47:28.599
1274,"Essa composição reflete nostalgia e introspecção, conduzindo o ouvinte por uma viagem emocional através de lembranças. Com letras evocativas e instrumentação envolvente, cria cenários visuais e auditivos ricos, estimulando a criatividade e permitindo novas interpretações pessoais. É um convite para explorar memórias e sentimentos, provocando reflexão e conexões profundas.",0,1277,2025-01-26 20:47:28.599
1275,"A melodia suave e as letras acolhedoras oferecem conforto em momentos difíceis, guiando suavemente pela turbulência emocional. A progressão serena da música promove calma interior e reflexão positiva. As mensagens de esperança e resiliência inspiram confiança em tempos de incerteza, proporcionando um refúgio seguro para se reconectar com a paz interior.",4,1276,2025-01-26 20:47:28.599
1397,"Esta canção envolve o ouvinte em uma fusão de energia vibrante e melodias espirituosas, proporcionando um escape musical que acalma e inspira. As batidas dinâmicas oferecem alívio à mente, promovendo uma sensação de renovação e confiança. A harmonia entre intensidade e tranquilidade ajuda a equilibrar emoções instáveis, renovando o espírito.",4,1400,2025-01-26 23:18:19.188
1398,"Essa trilha energizante inspira determinação e foco, com batidas poderosas que alimentam a produtividade. As letras evocam resiliência e superação, ideais para aqueles que planejam meticulosamente seus passos. A melodia intensa estimula o espírito para enfrentar desafios, incentivando a busca incessante por excelência e mantendo a motivação em alta.",1,1399,2025-01-26 23:18:19.188
1399,"A combinação poderosa de instrumentação dinâmica e letras emocionantes oferece uma jornada introspectiva e intensa. O contraste entre sons eletrônicos e guitarras pesadas cria uma paisagem sonora rica. A mensagem de conflito interno ressoa profundamente, permitindo uma conexão pessoal e estimulando a reflexão. Ideal para explorar emoções e contemplar novas perspectivas.",0,1398,2025-01-26 23:18:19.188
1400,"Com uma batida energética e guitarra poderosa, esta faixa combina percussão pulsante e vocais intensos que inspiram força e determinação. A melodia cativante e o ritmo crescente se entrelaçam para criar uma experiência auditiva motivadora, ideal para momentos que exigem foco e superação. Uma trilha sonora vibrante para jornadas pessoais de conquista.",5,1397,2025-01-26 23:18:19.188
1401,"Esta canção celebra a liberdade e a autoaceitação, ressoando com aqueles que prezam o bem-estar alheio enquanto valorizam sua própria autenticidade. A poderosa melodia inspira coragem para superar desafios emocionais, promovendo uma sensação de paz interior. A mensagem energética e positiva complementa corações calorosos que buscam harmonia e felicidade genuína.",3,1396,2025-01-26 23:18:19.188
1402,"Esta vibrante melodia proporciona energia contagiante e alegria inigualável. Seus ritmos dançantes e letra positiva promovem um ambiente social e acolhedor, ideal para quem valoriza conexão e harmonia. Com um groove cativante, inspira movimento e união, celebrando o espírito de camaradagem e felicidade coletiva de forma universal e irresistível.",3,1407,2025-01-26 23:23:19.068
1403,"Esta faixa transporta ouvintes para uma jornada emocional intensa, com mudanças sutis de ritmo e melodia cativante. Contando uma narrativa evocativa, sua letra poética instiga a imaginação. A construção sonora dinâmica desafia expectativas musicais, proporcionando uma experiência auditiva rica e imersiva que ressoa profundamente com quem busca constantemente o extraordinário.",0,1406,2025-01-26 23:23:19.068
91,"Com batida cativante e letras empoderadoras, essa música exala confiança e energia. É perfeita para animar festas ou encontros, promovendo um ambiente vibrante e cheio de vida. Incorpora ritmos animados que incentivam a dança e participação, tornando-se o som ideal para quem adora interações dinâmicas e divertidas.",2,90,2025-01-25 16:26:09.887
92,"A melodia introspectiva e letras poéticas estimulam a exploração interior, evocando emoções profundas e paisagens sonoras ricas. Cada acorde convida à contemplação, enquanto a voz sincera desperta sensibilidade artística. A composição é uma jornada íntima, permitindo interpretações pessoais e sinestesias emocionais que capturam quem aprecia mergulhos musicais extraordinários e fora do comum.",0,89,2025-01-25 16:26:09.887
93,"Esta faixa eletrônica combina batidas enérgicas com vocais inspiradores, apresentando uma produção polida que destaca uma construção dinâmica e crescentes sintetizadores. A estrutura progressiva mantém o ouvinte engajado, enquanto os elementos sonoros são cuidadosamente equilibrados para criar um ambiente sonoro otimista e encorajador, perfeito para momentos que exigem determinação e persistência.",5,88,2025-01-25 16:26:09.887
94,"O som profundo e emocional deste clássico evoca compreensão e empatia, ressoando com corações abertos e receptivos. As melodias sinceras e a interpretação autêntica estimulam uma poderosa conexão emocional, promovendo introspecção e compreensão. É uma escolha perfeita para aqueles que valorizam experiências musicais genuínas, transmitindo sentimentos profundos e universais.",3,105,2025-01-25 16:27:26.968
95,"Essa canção reflete uma jornada de vida com conselhos sábios, ressonando com aqueles que valorizam planos e estabilidade. Sua melodia calma e letra introspectiva incentivam reflexão ponderada, oferecendo um profundo senso de propósito. A narrativa ponderada inspira a busca por harmonia e crescimento pessoal, sem pressa, mas com intenção e clareza.",1,104,2025-01-25 16:27:26.968
96,"Essa canção poderosa e emotiva oferece uma melodia cativante e letras introspectivas que encorajam a reflexão e o crescimento pessoal. Ela fornece um excelente equilíbrio entre energia e significado, ressoando com aqueles que apreciam expressar sentimentos intensamente. Ideal para momentos de conexão e motivação, combina profundidade emocional com um som memorável e dinâmico.",2,103,2025-01-25 16:27:26.968
97,"Harmonias suaves e batidas rítmicas criam uma atmosfera calmante, reduzindo tensão interna. A melodia nostálgica traz tranquilidade, aliviando sentimentos negativos. Letras evocativas incentivam reflexão positiva, promovendo estabilidade emocional. A combinação energética e esperançosa de sons promove coragem interna, ajudando a enfrentar inseguranças com mais confiança e serenidade no dia a dia.",4,102,2025-01-25 16:27:26.968
98,"Esta faixa cativa com uma batida contagiante e irresistivelmente dançante, preenchida por acordes de piano vívidos e uma linha de baixo pulsante. Os vocais suaves e charmosos flutuam sobre a produção impecável, remetendo ao retro encantador enquanto permanecem atemporalmente frescos. Um verdadeiro convite ao movimento e à celebração vibrante.",5,101,2025-01-25 16:27:26.968
99,"A composição oferece uma jornada emocional única, evocando sentimentos profundos e introspectivos através de suas melodias límpidas e cinematográficas. A riqueza harmônica e o ritmo envolvente incentivam a contemplação e a exploração de mundos internos, permitindo que o ouvinte mergulhe em sua própria imaginação e descubra novas camadas de significado pessoal.",0,100,2025-01-25 16:27:26.968
100,"Essa música oferece uma liberação catártica através da energia explosiva e letras intensas que canalizam frustrações e inquietações. Com ritmo acelerado e uma mensagem de resistência, ela pode encorajar ouvintes a confrontar desafios de forma mais audaciosa, promovendo uma sensação de empoderamento e alívio ao transformar emoções complexas em força motriz.",4,111,2025-01-25 16:28:40.196
